К содержанию,,,,,,,,,,,,,,,,,,
Валовой региональный продукт по субъектам Российской Федерации в 1998-2015 гг. (в текущих ценах; миллионов рублей),,,,,,,,,,,,,,,,,,
,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Сибирский федеральный округ,278015.4,430390.5,635471.7,778927.9,909296.4,1104197.5,1506602.2,1806739.4,2260554.7,2772400.7,3177169.3,3121312.5,3831126.3,4445440.7,4798101.9,5134467.9,5712688.7,6371103.1
Республика Алтай,1527.6,2186.2,2737.5,4499.4,5310.6,6903.9,8516.7,8805.8,11609.4,15108.5,18701,19911.6,22393.7,26380.8,30444.6,33313.5,39191.9,42165.7
Республика Тыва,1958.5,2727.9,3594.1,5197.2,6847.4,8121.2,9838.5,11662.5,15146.8,19384.2,23870.5,26921.9,30772.8,33398.9,37369.1,41298.7,45947.9,47289.6
Республика Хакасия,8158.8,13192.3,17418.1,20041,25423.3,28969.2,33102.9,41727.5,53689.3,63722,72308.8,81019.9,96039.8,113088.1,130638.5,141850.5,158372.8,170413.1
Алтайский край,21365.9,32430.6,46736.8,61854.4,73107.4,88733.3,114840.5,135686.4,173810.5,223563.4,259343.1,265613.3,302900.7,332117.8,368995.2,416110.3,446023.8,487903.3
Красноярский край,70150.1,124516.5,214662.7,239420,230994.9,272727,365454.1,439736.9,585881.9,734154.8,737950.5,749194.8,1055525,1170827.3,1183228,1256934.1,1410719.9,1667041.1
Иркутская область,50422.2,77701.2,103013.8,120240,140195.9,167927.1,213244.2,258095.5,330834.3,402654.7,438852.4,458774.9,546141,634561.4,737971.6,805197.5,916317.5,1001717.6
Кемеровская область-Кузбасс,42890.2,64491.4,88728.1,113800.2,136156.7,164903.1,244462,295378.4,342210.6,437790.2,575901.9,512408,625914.9,751198.4,718320.4,667950.5,752024,843345.4
Новосибирская область,34399,52746.5,72012.7,95298.9,123084.5,153798.9,191826.7,235381.8,296064.5,365531.2,453574.6,425400.2,484141.3,598563.5,728154,817516.7,911219,1021642.9
Омская область,26855,33734.7,46028.4,61535.7,92628.7,115029.5,192877.3,220686.1,262506.7,296004.7,347760.3,336259.6,382620.4,451418.8,491507.6,551734,602605.1,618127.7
